Feature,Weight
reminder,1.4215095010379746
old,1.418089824705754
warm,1.4156152656424055
sony,1.4146237536568211
dartboard,1.4145759111037988
condition double,1.4145759111037988
double treble,1.4145759111037988
dartboard good,1.4145759111037988
free phone,1.4119960321007603
message please,1.410171106052159
darling today,1.4090835096574394
listen,1.4084726073692624
update,1.3987348159088457
sept,1.3975972216284738
company bill,1.396951359344559
ur awarded,1.3961799778258417
max,1.3922891849625059
announcement,1.391932538759919
service announcement,1.391932538759919
txt stop,1.3862329517317336
goto,1.383815323710033
gmw,1.3703091314496965
gmw ltd,1.3703091314496965
connected,1.3703091314496965
england,1.36947442667568
local,1.367539133457153
last time,1.3625084018003768
money,1.358808209998784
ntwk,1.3548747531329093
afraid,1.3476193642980825
free game,1.346522437334905
end,1.3444810990651526
followed,1.3407223943707816
dont miss,1.3403257495091967
reply yes,1.3368200484437138
gender,1.3353190045402787
dating two,1.3341860559105698
connection think,1.3341860559105698
account,1.3329988714538967
ever notice,1.3285507518347954
driving faster,1.3285507518347954
driving anyone,1.3285507518347954
everyone driving,1.3285507518347954
faster maniac,1.3285507518347954
allow,1.3180676215750102
selected receive,1.3174768181841272
guaranteed award,1.3142065514917298
rally,1.3114593172273104
lucozade,1.3114593172273104
wrc,1.3114593172273104
tell look,1.3080273248403238
call immediately,1.303286089661806
urgent message,1.303286089661806
message waiting,1.303286089661806
immediately urgent,1.303286089661806
bird,1.299165190150931
forget enjoy,1.292891934749754
fun great,1.292891934749754
gbp sm,1.292891934749754
important,1.2928506137589093
love sex,1.2883000771907416
book,1.2881312002430592
every,1.2862622196916011
row,1.2857924291901877
free msg,1.284266368821728
hp,1.2835180005045808
co,1.2809341754744508
log onto,1.2798057233824038
onto,1.2798057233824038
mobile content,1.2750106156004035
mobile phone,1.270850983681935
reveal,1.2683256713652815
looking make,1.2683256713652815
contact find,1.2683256713652815
reveal think,1.2683256713652815
special call,1.2683256713652815
make contact,1.2683256713652815
find reveal,1.2683256713652815
secret admirer,1.2683256713652815
ur special,1.2683256713652815
admirer,1.2683256713652815
admirer looking,1.2683256713652815
straight phone,1.2640860095330146
ur balance,1.2611036319092914
next question,1.2611036319092914
bringing,1.2605460624333844
nd,1.2594276740405774
savamob,1.2561616678455305
would love,1.2531972207784092
take part,1.252430155438598
luv,1.2519036780560002
fantastic,1.251609046388378
faster,1.2513082758069398
think ur,1.2512048205213333
ur cash,1.2505570839911562
await collection,1.2504843580058578
email call,1.2494487646076682
email alertfrom,1.2494487646076682
cost prescripiton,1.2494487646076682
drvgsto listen,1.2494487646076682
drvgsto,1.2494487646076682
land row,1.247928720236774
suite land,1.247928720236774
eve call,1.247739683067705
dont tell,1.2457641355591964
pobox hb,1.2443605885715874
hb,1.2443605885715874
valued,1.2433087389477686
customer care,1.2417309916176276
msg rcvd,1.2414484556806682
rcvd,1.2414484556806682
holiday cash,1.2367582715568808
break,1.2362733048076
mp,1.235325393816061
hp fl,1.2351119623988807
fl,1.2351119623988807
cd,1.2339896530405254
shopping,1.2293807851266503
click,1.2275569444676522
min stop,1.22402283282478
inc,1.22184408103156
replying,1.2210008619075396
every week,1.2208436451458262
text stop,1.2194831371206551
alert,1.2148666395960026
anyone going,1.21443256829262
see stop,1.213781114026211
stop frnd,1.213781114026211
stop send,1.213781114026211
inviting friend,1.213781114026211
inviting,1.213781114026211
friend reply,1.213781114026211
phone,1.213034413495047
flight,1.211072117062646
await,1.2098117052920208
ltd po,1.2069524919575318
ur mob,1.2057118271978475
da ppmsg,1.1970959725769428
mobileupd,1.1953146583245593
call mobileupd,1.1953146583245593
code expires,1.1927033186920628
freemsg hey,1.1915384656288885
bid bid,1.1904101555686462
wkly,1.188953745769948
day find,1.1839640822215798
find log,1.1839640822215798
lucky day,1.1839640822215798
important information,1.1839640822215798
onto fantastic,1.1839640822215798
content already,1.1836403496033332
downloaded content,1.1836403496033332
text back,1.1774698075779009
call optout,1.1707792022616341
name age,1.1650878713465376
free anonymous,1.1642864862187798
blind date,1.1635959585508608
blind,1.1635959585508608
free entry,1.1634770921828752
current leading,1.1624784940952861
flower,1.1621705301665652
every wk,1.1608953000981863
one like,1.1599422350272937
send go,1.1555120586689704
getting smart,1.1553481171209599
get prem,1.1553481171209599
statement show,1.1549305571199229
virgin,1.1537901156061638
guess,1.153094076134607
arcade,1.148049141551049
news,1.1462071161864897
echo ringtone,1.1460776456071597
echo,1.1460776456071597
national rate,1.1444503930498686
guaranteed call,1.1426205883590606
sp,1.1417133022108357
billed,1.1358465119151078
number,1.1333712253518344
free ringtone,1.129487857569664
show un,1.1292330231692045
redeemed point,1.1292330231692045
point call,1.1292330231692045
redeemed,1.1292330231692045
un redeemed,1.1292330231692045
wq,1.1287534746168713
horo,1.1285663762428821
wc,1.1274045714983585
wc xx,1.1274045714983585
per minute,1.1272055055637373
enter,1.1270137771138844
complimentary,1.125222190665482
xx call,1.1239316956831096
po wa,1.1239316956831096
call minmoremobsemspobox,1.1239316956831096
minmoremobsemspobox,1.1239316956831096
minmoremobsemspobox po,1.1239316956831096
live chat,1.1219784916299913
index,1.120546414338078
widelive,1.120546414338078
widelive com,1.120546414338078
wml id,1.120546414338078
wml,1.120546414338078
index wml,1.120546414338078
com index,1.120546414338078
first true,1.120546414338078
yes see,1.119513022191873
call book,1.1176658684404654
urgent ur,1.1151492306678494
give access,1.1139534515876903
pic,1.111887366405291
future bloomberg,1.1081556212557282
rply,1.1075076169730456
charity,1.1069784720948004
txt word,1.1069341313460501
immediately,1.1026723382423052
dvd,1.0975541615832867
ignore,1.0970733591037596
message match,1.0962289930478826
camera phone,1.094980472333132
location,1.0916530410221805
goal,1.0909550546597222
look like,1.0908046475773299
currently,1.0902953491347886
stop end,1.0851929916009415
midnight,1.084695495095461
netcollex,1.0808004193727525
netcollex ltd,1.0808004193727525
ipod,1.0763218983376086
rental,1.0733070984074915
half price,1.0733070984074915
found number,1.071604175664595
god found,1.071604175664595
cst,1.071604175664595
cst std,1.071604175664595
glad text,1.071604175664595
going office,1.0709338080310282
extreme dirty,1.0709338080310282
dirty live,1.0709338080310282
extreme,1.0709338080310282
downloaded,1.0697630899605994
no,1.0682220972860914
help call,1.0681669794165347
reply end,1.0675366234091888
following,1.065135280759897
harry,1.0627787287526442
fund texting,1.0587734512186031
disaster support,1.0587734512186031
fund,1.0587734512186031
donate added,1.0587734512186031
donate unicef,1.0587734512186031
entry weekly,1.0570240469241958
pas,1.0546697775454943
little,1.0536836080380132
amazing,1.0527569597698831
smart,1.050504740716187
claim prize,1.0454546212030325
colour,1.0436078602379992
potential,1.043117951451432
ip,1.0403772738995658
definitely,1.0386968215615993
hot,1.0363998147592621
much fun,1.0355954536216223
get free,1.0347838821901238
beware,1.0343065690300532
gay,1.033636272589165
connection,1.0307586504327841
new tone,1.0301105798367862
sent text,1.0276101540605393
luck,1.025728623568461
reply call,1.0241755434427398
line rental,1.0229513133519959
amy,1.0216455241221816
day give,1.0181390414924016
even send,1.0161617148033846
download many,1.0161617148033846
idiot,1.0155530997879165
fil text,1.0135539765771522
fil ur,1.0135539765771522
every sexual,1.0135539765771522
girl many,1.0135539765771522
find pobox,1.0068571119461627
fancy call,1.0068571119461627
calling,1.0068530561282591
worth,1.0062261188759947
zouk nichols,1.0059732059813702
zouk,1.0059732059813702
free rose,1.0059732059813702
un,0.9991218944325195
wa,0.9982406078511136
bedroom,0.9975749066627083
loan,0.9970530827016932
camcorder,0.996251035727222
couple day,0.9956037720775317
mobileupd call,0.9943902174830127
motorola,0.994343843121078
voucher holder,0.9942009140450431
holder,0.9942009140450431
dear voucher,0.9942009140450431
sale,0.9940168526675333
txt chat,0.9904186983649123
tv,0.9890043321160202
fun,0.9856906679742569
sunshine quiz,0.9853060197548268
sony dvd,0.9853060197548268
year old,0.9848120271243606
tone reply,0.9846302995305164
claim ur,0.9840256279350785
prize guaranteed,0.9831684039335011
important customer,0.9793748093118044
draw gift,0.9774334739929976
subscriber,0.9774334739929976
logo,0.976897915281865
awaiting,0.9763347733765093
ip pm,0.9750214708075702
bx ip,0.9750214708075702
start saturday,0.9736087119221635
buy explosive,0.973522851704345
strong buy,0.973522851704345
bank granite,0.973522851704345
explosive,0.973522851704345
cdgt,0.973522851704345
symbol cdgt,0.973522851704345
nasdaq symbol,0.973522851704345
pick member,0.973522851704345
issue strong,0.973522851704345
granite issue,0.973522851704345
granite,0.973522851704345
cdgt per,0.973522851704345
member nasdaq,0.973522851704345
nasdaq,0.973522851704345
explosive pick,0.973522851704345
format,0.9732524791916465
get bbdeluxe,0.9732524791916465
deluxe,0.9732524791916465
feature great,0.9732524791916465
feature,0.9732524791916465
format new,0.9732524791916465
deluxe format,0.9732524791916465
tenant,0.9732275641211301
tenant welcome,0.9732275641211301
loan purpose,0.9732275641211301
purpose,0.9732275641211301
text word,0.9719498923172553
company,0.9713278122148231
lucky,0.9702958118924839
london,0.9677368632781652
send get,0.9676828360494052
result daily,0.9676828360494052
news result,0.9676828360494052
latest news,0.9676828360494052
moby,0.9672438842470115
wan na,0.9648497966225882
award call,0.9640604346117434
delivery brought,0.9586004037790712
claire,0.9569376901104215
an,0.955317093238983
arrange,0.9547438240943017
congrats,0.9535301712530045
opinion,0.953319069597719
low,0.9513399472703911
tscs,0.9513050660579317
xxx,0.9497308182574979
straight,0.9494959276998387
downloads,0.9473766444281931
complete landmark,0.9465965346805804
hg suite,0.94627611694968
hg,0.94627611694968
responding,0.9452954990196454
give arsenal,0.94438538607721
goal margin,0.94438538607721
goal arsenal,0.94438538607721
fun still,0.9433566916824958
darling week,0.9433566916824958
specially,0.9424673798263811
row hl,0.9391550504216926
yo yo,0.9372943148943966
yf,0.9363450672029627
know someone,0.9355208656249763
forget,0.9332207897413982
wk txt,0.9324286507513324
etc free,0.9318685645229803
content video,0.9300182444309
jamster,0.929819387306745
go msg,0.9296830972176484
give away,0.928897262322717
save,0.9282512886963565
tsunami,0.9281779012783747
disaster,0.9281779012783747
sk,0.9270880312936619
text message,0.9263501988594947
txt ur,0.9184791554477063
privacy,0.9181520035651453
symbol,0.9178587083108836
strong,0.9176061080164079
partner,0.9160093381419286
reply name,0.915627455866458
gender begin,0.9156236086299572
spree,0.9139348382440812
shopping spree,0.9139348382440812
digital camera,0.9098807114598036
digital,0.9098807114598036
receiving,0.9046211836892184
hello,0.9022907151735657
contact call,0.9001875354464974
wallpaper,0.8973837982527022
fantastic surprise,0.8968432531909232
surprise awaiting,0.8968432531909232
today lucky,0.8968432531909232
gift guaranteed,0.8932722657868761
stop stop,0.892512001854664
star,0.8923269565144056
st,0.8920539403134699
superb,0.8919359503482268
call per,0.891044183120927
network min,0.8902887305761035
penny,0.8889782163078148
cc,0.883618718862103
secret,0.8818479654957905
verify,0.8813110442229439
monthly,0.8811194043948153
tried,0.8807262067591595
respond,0.8802435616987401
sending,0.8793568669073397
read,0.8777276029502774
go subscription,0.8755055612719682
get ton,0.8755055612719682
ldn,0.8740436653314749
join uk,0.8718607724859172
texting,0.8708565774455679
new nokia,0.8687084794580401
picsfree,0.868409638761369
biggest,0.8682802462229233
gamestar sky,0.8658349690107245
football back,0.8658349690107245
gamestar,0.8658349690107245
dream team,0.8658349690107245
fantasy football,0.8658349690107245
go sky,0.8658349690107245
received,0.8634150579504548
prize draw,0.8623289122860341
revealed,0.8615694317024107
call revealed,0.8615694317024107
cant guess,0.8615694317024107
service contact,0.8615694317024107
asked dating,0.8615694317024107
contact cant,0.8615694317024107
guess call,0.8615694317024107
know asked,0.8615694317024107
listening,0.8586796951891393
buddy,0.8576506197558246
postcode,0.8537897580349825
quiz win,0.8531474109044012
flight book,0.8528532057023926
wot,0.8521548811127498
block,0.8518428871827017
center,0.8513725516820162
receive reward,0.8510751423126621
word ok,0.8506582810812636
reply real,0.8478600905357659
welcome please,0.8471612515941539
oh god,0.8468900976171423
simply,0.8461743303811505
like fun,0.8456686728793835
strip,0.8446753476632076
speak live,0.843928602533341
live operator,0.843928602533341
end reply,0.8433848077107909
balance currently,0.8414052909560921
cash send,0.8414052909560921
cash balance,0.8414052909560921
maximize ur,0.8414052909560921
maximize,0.8414052909560921
back like,0.8396243746723323
reply stop,0.835462694532789
easy call,0.8339084371648186
december,0.8320401911673168
prize call,0.8319107977096228
area reply,0.8307548278565042
tc,0.8303917306675677
dirty,0.8289197981849705
morow,0.8265945751833679
review,0.826542744118925
shot,0.8263996643615822
premier,0.8259354225621566
announcement premier,0.8259354225621566
text age,0.8220080577327807
age followed,0.8220080577327807
village,0.8204836942512805
call mobile,0.819908384409298
newest,0.8191577748450786
wedding,0.819065415237134
team,0.8188524825181553
prize claim,0.8184613280452437
regular,0.8147850938001766
win free,0.8095963630930461
accordingly,0.8094841582832001
dena,0.8089921047877006
dena call,0.8089921047877006
ben,0.8072424275692465
datebox essexcm,0.8062776113338059
essexcm xn,0.8062776113338059
datebox,0.8062776113338059
essexcm,0.8062776113338059
fancy wan,0.8062776113338059
find give,0.8062776113338059
dear welcome,0.8047349689937824
ever cash,0.8047349689937824
get lot,0.8047349689937824
vip,0.8019878512946286
horny,0.7995659666680787
store,0.7994892688674543
register,0.7979545113913071
ur area,0.7973322459962663
free bx,0.7959830756749625
congrats year,0.7959830756749625
number ending,0.7959106216355968
send hmv,0.7957632671743659
enough,0.7947594432535531
network operator,0.7946204546344091
bt,0.7942471170991354
call germany,0.7938782978376192
germany,0.7938782978376192
mix,0.7924169584354075
repeat,0.7895072024196061
next year,0.7821842987953823
mailbox messaging,0.7813224529857636
messaging sm,0.7813224529857636
sm alert,0.7813224529857636
messaging,0.7813224529857636
hi mailbox,0.7813224529857636
retrieve message,0.7813224529857636
retrieve,0.7813224529857636
mailbox,0.7813224529857636
back retrieve,0.7813224529857636
football,0.7791845926712664
word win,0.7764961578747277
energy text,0.7745689992488386
first time,0.774460686208759
sptv,0.7736238499206913
kept,0.773306563155374
future,0.7726679906830946
current,0.7717873559807262
daily,0.7700774457951696
standard,0.7694904510675605
fwd txt,0.7674825988972651
fwd,0.7674825988972651
delivery within,0.7638837663454857
fromm landline,0.7638837663454857
fromm,0.7638837663454857
anyone,0.7634098576071243
age eg,0.7617508323570283
tried contact,0.761363030884826
zed,0.761106044344671
xx callcost,0.7599079680088552
callcost,0.7599079680088552
call csbcm,0.7599079680088552
csbcm,0.7599079680088552
csbcm wc,0.7599079680088552
energy,0.7589886220295379
awarded bonus,0.7573693972318429
claim code,0.7570548115026245
ton,0.7567829013951004
talk,0.752895650219754
satisfy,0.7526981612817567
msg rcv,0.7505992999229883
cam moby,0.7505992999229883
hlp,0.7505992999229883
moby wan,0.7505992999229883
camcorder reply,0.7490803302488636
back work,0.7490344933052963
cancel,0.7469676264953963
pic txt,0.7456298374652399
penny per,0.7439869838392035
line via,0.7439869838392035
minute call,0.7439869838392035
number prepayment,0.7439869838392035
via access,0.7439869838392035
access number,0.7439869838392035
call fixed,0.7439869838392035
direct access,0.7439869838392035
germany penny,0.7439869838392035
prepayment,0.7439869838392035
prepayment direct,0.7439869838392035
fixed line,0.7439869838392035
win quiz,0.7430349432580856
partner trip,0.7430349432580856
trip lifetime,0.7430349432580856
rcvd custcare,0.7430349432580856
lifetime send,0.7430349432580856
take partner,0.7430349432580856
special win,0.7430349432580856
quiz take,0.7430349432580856
day special,0.7430349432580856
entered,0.7424228044049824
sw,0.7416721038335867
caller prize,0.7391774619366044
final attempt,0.7386744275353688
eerie,0.7383950140639283
service text,0.7361249090336219
pobox wq,0.735636003527116
frnd,0.7346745229931342
download,0.7322518712579628
get usher,0.7321164042793328
uk game,0.7320060703142384
ec,0.729443113753572
ending,0.7253366640066743
jsco,0.7247120276534575
action,0.7237375602636072
ntt,0.7219441149880321
cash prize,0.7215953677809687
del,0.7213393698951315
offer mobile,0.7210135772134791
completely free,0.7177673084119789
global location,0.7177673084119789
global,0.7177673084119789
free accommodation,0.7177673084119789
urgent mobile,0.7177198041819425
anytime network,0.7161408691781425
latest colour,0.7148608820245845
loyalty,0.7143606346889327
new video,0.7142719427656253
reply date,0.7120393964207564
valid hr,0.7100691823286824
sent direct,0.7083891363308981
tscs winawk,0.7062740782902547
store skilgme,0.7062740782902547
skilgme,0.7062740782902547
winawk,0.7062740782902547
spree every,0.7062740782902547
skilgme tscs,0.7062740782902547
winawk age,0.7062740782902547
nichols,0.7055561979002583
congratulation ur,0.7051200730248183
stay,0.7048864384374006
romantic,0.7042309236004956
driving,0.7035624967315617
collect call,0.7031867591694152
exciting,0.7029547276981816
receipt correct,0.7023845894612604
voucher entered,0.7023845894612604
correct an,0.7023845894612604
entered receipt,0.7023845894612604
credit tenant,0.7012990465847635
even bad,0.7012990465847635
name,0.7009451935927152
specially selected,0.697149415074999
double min,0.696154828593367
text wap,0.6952584284122888
nat,0.6952262863513169
nat rate,0.6952262863513169
call nat,0.6952262863513169
collection sae,0.6942830087193153
cash await,0.6940579628218505
saturday,0.6932872692750284
mobile mths,0.6894439694504968
lifetime,0.6890470619136065
british hotel,0.6889119746985055
nothing holiday,0.6889119746985055
stay top,0.6889119746985055
hotel nothing,0.6889119746985055
top british,0.6889119746985055
bx sw,0.6889119746985055
selected stay,0.6889119746985055
british,0.6889119746985055
blow,0.6876212091472307
aberdeen united,0.6872385176615554
date send,0.6872385176615554
date rodds,0.6872385176615554
aberdeen,0.6872385176615554
xchat,0.6862558614503131
invited xchat,0.6862558614503131
include,0.6855624765662826
nokia free,0.6843404440010108
challenge,0.680860946785303
mtmsg,0.6797765252532841
refused,0.6797319236941312
back help,0.6797319236941312
tell ur,0.6788482599055384
game arcade,0.6780563170954671
txt nokia,0.6778284935709855
paid,0.6761022319393746
morro,0.6759281905249266
trying contact,0.6732581551937076
draw show,0.6732581551937076
show prize,0.6732581551937076
holiday await,0.671851826612217
per day,0.6700604897900617
password,0.6693249517990536
story,0.6691307539095994
flyng start,0.666549482053683
flyng,0.666549482053683
free txt,0.666549482053683
followed ur,0.666549482053683
dream partner,0.666549482053683
find free,0.666549482053683
point,0.6663275470263742
please,0.66593750257329
flirt,0.6647353631606885
show,0.6641841983423962
user today,0.6639129041954784
information user,0.6639129041954784
bb,0.6638546286537671
bonus caller,0.6630341443817221
hl ldn,0.6629012273435068
need help,0.6624460057448824
sae box,0.660256633779544
service get,0.6593279037468771
free request,0.6590243399356502
forget place,0.6590243399356502
want new,0.6561989763392672
java,0.6537720931234274
call videochat,0.6537720931234274
play java,0.6537720931234274
dload,0.6537720931234274
java game,0.6537720931234274
videochat,0.6537720931234274
videophones call,0.6537720931234274
videophones,0.6537720931234274
mobile videophones,0.6537720931234274
mate play,0.6537720931234274
music noline,0.6537720931234274
noline,0.6537720931234274
videochat wid,0.6537720931234274
noline rentl,0.6537720931234274
rentl,0.6537720931234274
congrats mobile,0.6537720931234274
game dload,0.6537720931234274
revealed pobox,0.6522474347458378
xxxxxxxxx,0.6508750732617306
rose,0.6506419323080174
free reply,0.6506265280951663
free wallpaper,0.6480311884691725
film,0.6449144071570745
rate apply,0.6446834532960075
offer new,0.6424920970554202
true,0.6423072420023793
fantasy call,0.6420280895510878
issue,0.6419047583633737
flag,0.6411687130162838
activate,0.6400816368677479
currently tour,0.6389124648469883
cost std,0.6389124648469883
week savamob,0.6379456778152486
content enjoy,0.6372656073532998
tone txt,0.6345589247139212
paying,0.6333177350169067
dvd recorder,0.6310990647789919
tenerife holiday,0.630705513957262
tenerife,0.630705513957262
bluetooth,0.6278175110608891
win newest,0.6276942376628888
newest harry,0.6276942376628888
question chance,0.6276942376628888
first among,0.6276942376628888
among reader,0.6276942376628888
reader,0.6276942376628888
order phoenix,0.6276942376628888
chance first,0.6276942376628888
potter order,0.6276942376628888
reply harry,0.6276942376628888
phoenix book,0.6276942376628888
phoenix,0.6276942376628888
book reply,0.6276942376628888
harry answer,0.6276942376628888
potter,0.6276942376628888
harry potter,0.6276942376628888
video phone,0.6269656976414131
unsub,0.6261786603899017
euro stop,0.625664198593115
day euro,0.625664198593115
get euro,0.625664198593115
daily unsubscribe,0.625664198593115
euro kickoff,0.625664198593115
cum,0.624648477209849
registered,0.6240304735956016
win cash,0.6235976012129391
orange line,0.6221848886526671
price orange,0.6221848886526671
mths half,0.6221848886526671
free nokia,0.6196297043249851
plus free,0.6192491026893079
uz,0.6185707028852482
dream,0.6175817887042049
mobile free,0.6172249062104352
xchat final,0.6170354568987256
contact txt,0.6170354568987256
min txts,0.6163686432340323
entitled,0.6161398369286539
wu,0.6158979705836317
cr,0.612150284044597
cum nite,0.6120428741324402
savamob pobox,0.6108872344992102
largest dogging,0.6103978402989497
