Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression (TF-IDF),0.9816247582205029,0.9814447374249972,0.9816247582205029,0.9812777347405168
Naive Bayes (TF-IDF),0.9613152804642167,0.9629562017594778,0.9613152804642167,0.9582492899843814
Logistic Regression (Word2Vec),0.9216634429400387,0.9155265096978422,0.9216634429400387,0.9140945500299643
